,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,num-doors-four,num-doors-two,engine-location-front,engine-location-rear,horsepower-binned,price-binned
0,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,16500.0,11.19047619047619,8.703703703703704,0,1,1,0,0,1,1,0,Low,Low
1,1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,16500.0,12.368421052631579,9.038461538461538,0,1,1,0,0,1,1,0,Medium,Low
2,2,164,audi,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,13950.0,9.791666666666666,7.833333333333333,0,1,1,0,1,0,1,0,Low,Low
3,2,164,audi,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,17450.0,13.055555555555555,10.681818181818182,0,1,1,0,1,0,1,0,Low,Low
4,2,122,audi,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,15250.0,12.368421052631579,9.4,0,1,1,0,0,1,1,0,Low,Low
5,1,158,audi,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,17710.0,12.368421052631579,9.4,0,1,1,0,1,0,1,0,Low,Low
6,1,122,audi,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,18920.0,12.368421052631579,9.4,0,1,1,0,1,0,1,0,Low,Medium
7,1,158,audi,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,23875.0,13.823529411764707,11.75,0,1,0,1,1,0,1,0,Medium,Medium
9,2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,16430.0,10.217391304347826,8.10344827586207,0,1,1,0,0,1,1,0,Low,Low
10,0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,16925.0,10.217391304347826,8.10344827586207,0,1,1,0,1,0,1,0,Low,Low
11,0,188,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20970.0,11.19047619047619,8.392857142857142,0,1,1,0,0,1,1,0,Medium,Medium
12,0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21105.0,11.19047619047619,8.392857142857142,0,1,1,0,1,0,1,0,Medium,Medium
13,1,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,24565.0,11.75,9.4,0,1,1,0,1,0,1,0,Medium,Medium
14,0,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,30760.0,14.6875,10.681818181818182,0,1,1,0,1,0,1,0,Medium,Medium
15,0,122,bmw,std,two,sedan,rwd,front,103.5,0.9312830370014417,0.9430555555555556,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,41315.0,14.6875,10.681818181818182,0,1,1,0,0,1,1,0,Medium,High
16,0,122,bmw,std,four,sedan,rwd,front,110.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,36880.0,15.666666666666666,11.75,0,1,1,0,1,0,1,0,Medium,High
17,2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5151.0,5.0,4.433962264150943,0,1,1,0,0,1,1,0,Low,Low
18,1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8833333333333333,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6295.0,6.184210526315789,5.465116279069767,0,1,1,0,0,1,1,0,Low,Low
